name,v_nom,Nemotecnico,Nombre_corrected,x,y,FID_exposure,wkt_geom,FID,Name Node,taxonomy,bus,p_nom,carrier
802,66,SE023R003,S/E SAN SEBASTIAN,258725.9996,6288229.018,107,Point (-71.59762553700555543 -33.51805018999986885),107,S/E SAN SEBASTIAN,Substation,,,
1746,220,SE102T002,S/E SECCIONADORA LO AGUIRRE,323593.9979,6298316.994,117,Point (-70.89773499782850763 -33.44005087616118743),117,S/E SECCIONADORA LO AGUIRRE,Boundary Substation,,,
1746_525kV,525,SE102T002,S/E SECCIONADORA LO AGUIRRE 525kV,323595.9979,6298316.994,231,,231,,Boundary Substation,,,
1128,44,SE002L068,S/E SER EL SALTO,264966,6341056,9214,,,,Substation,,,
1130,44,SE004L068,S/E SER PORTALES,258002.154,6342108.536,9213,Point (-71.59113817999336504 -33.03265712469414694),9213,S/E SER PORTALES,Substation,,,
1129,44,SE003L068,S/E SER VILLA ALEMANA,278353.243,6341498.943,127,Point (-71.3717880000029794 -33.04240599999999972),127,S/E VILLA ALEMANA,Substation,,,
206,110,SE002T048,S/E TORQUEMADA,268886.9997,6353071.017,16,Point (-71.47218608101267989 -32.93507350880155116),16,S/E TORQUEMADA,Substation,,,
804,110,SE025R003,S/E VALPARAISO,255203.9996,6339521.018,85,Point (-71.62210349111767016 -33.05554877955423621),85,S/E VALPARAISO,Substation,,,
207,110,SE008G010,S/E VENTANAS,267489.9997,6373804.017,1,Point (-71.48095708179964447 -32.7495040004676099),1,S/E VENTANAS,Substation,,,
207_220kV,220,SE008G010,S/E VENTANAS 220KV,267491.9997,6373804.017,232,,232,,Substation,,,
62T,220,LT007CI2----TA01R003,TAP ALTO MELIPILLA 220,293553.469,6269516.844,116,Point (-71.22749038100184293 -33.69385456099994514),116,TAP ALTO MELIPILLA,Boundary Tap,,,
26T,110,LT035CI2----TA01R002,TAP BATUCO,338776.019,6317697.392,121,Point (-70.73101548858794274 -33.26771412303526887),121,TAP BATUCO,Tap,,,
1098,110,SE026R003,TAP OFF ACHUPALLAS,265022.9996,6342216.017,54,Point (-71.51599810365799215 -33.03321869799925992),54,TAP OFF ACHUPALLAS,Tap,,,
1099,66,SE027R003,TAP OFF ALGARROBO,258704.9996,6304901.018,105,Point (-71.59349171868623785 -33.36808462814969545),105,TAP OFF ALGARROBO,Tap,,,
1552,110,SE003L076,TAP OFF CODELCO VENTANAS,269001.973,6372078.736,102,Point (-71.46595663665455334 -32.76495201633841958),102,TAP OFF CODELCO VENTANAS,Tap,,,
1114,66,SE004R020,TAP OFF EL MANZANO (LITORAL),254802.9995,6303449.018,111,Point (-71.6357878113106068 -33.38028452500176968),111,TAP OFF EL MANZANO (LITORAL),Tap,,,
1102,110,SE004T048,TAP OFF PACHACAMA,298360.9998,6362677.015,202,Point (-71.15427999999999997 -32.85564000000000107),202,TAP OFF PACHACAMA,Boundary Tap,,,
995,110,SE003T048,TAP OFF PUNTA PEUCO,329534.0699,6334037.054,126,Point (-70.82610740650784464 -33.11902589254604834),126,TAP PUNTA PEUCO,Boundary Tap,,,
1106,66,SE034R003,TAP OFF QUINTAY,254361.9995,6321332.018,100,Point (-71.63567005096201967 -33.21905181395319318),100,TAP OFF QUINTAY,Tap,,,
65T,110,LT002CI2----TA01R003,TAP PLACERES,260082.745,6338901.19,86,Point (-71.5698881848464481 -33.06175195636600961),86,TAP PLACERES,Tap,,,
66T,110,LT002CI2----TA02R003,TAP PLAYA ANCHA,254550.854,6337524.004,88,Point (-71.62928551564051816 -33.07319473060761794),88,TAP PLAYA ANCHA,Tap,,,
67,110,SE015R003T,TAP QUILPUE,272690.438,6345105.143,32,Point (-71.43214994081861846 -33.00781498193698127),32,TAP QUILPUE,Tap,,,
69T,110,LT015CI1----TA01R003,TAP RENACA,266449.556,6347986.265,26,Point (-71.49910750082209177 -32.98159510031134545),26,TAP RENACA,Tap,,,
73T,66,LT009CI2----TA03R003,TAP SAN SEBASTIAN,260022.097,6289060.228,108,Point (-71.58362182538607499 -33.51106865027216486),108,TAP SAN SEBASTIAN,Tap,,,
74T,110,LT002CI2----TA03R003,TAP VALPARAISO,254704.999,6337722,89,Point (-71.62766297527190318 -33.07149340916362235),89,TAP VALPARAISO,Tap,,,
